,value,percentage,datetime
0,376344.812,1,2019-01-01T00:00:00.000+01:00
1,335609.363,1,2019-02-01T00:00:00.000+01:00
2,363081.312,1,2019-03-01T00:00:00.000+01:00
3,358214.104,1,2019-04-01T00:00:00.000+02:00
4,358357.706,1,2019-05-01T00:00:00.000+02:00
5,334031.262,1,2019-06-01T00:00:00.000+02:00
6,349591.357,1,2019-07-01T00:00:00.000+02:00
7,344327.486,1,2019-08-01T00:00:00.000+02:00
8,341052.811,1,2019-09-01T00:00:00.000+02:00
9,347289.235,1,2019-10-01T00:00:00.000+02:00
10,356017.986,1,2019-11-01T00:00:00.000+01:00
11,324383.453,1,2019-12-01T00:00:00.000+01:00
