,value,percentage,datetime
0,18530.186,1,2019-01-01T00:00:00.000+01:00
1,15963.18,1,2019-02-01T00:00:00.000+01:00
2,16622.099,1,2019-03-01T00:00:00.000+01:00
3,15384.125,1,2019-04-01T00:00:00.000+02:00
4,16956.698,1,2019-05-01T00:00:00.000+02:00
5,17069.632,1,2019-06-01T00:00:00.000+02:00
6,19981.725,1,2019-07-01T00:00:00.000+02:00
7,21285.859,1,2019-08-01T00:00:00.000+02:00
8,18638.026,1,2019-09-01T00:00:00.000+02:00
9,17507.116,1,2019-10-01T00:00:00.000+02:00
10,16251.095,1,2019-11-01T00:00:00.000+01:00
11,16714.884,1,2019-12-01T00:00:00.000+01:00
