,value,percentage,datetime
0,16076.9525,1,2021-01-01T00:00:00.000+01:00
1,20473.173000000003,1,2021-02-01T00:00:00.000+01:00
2,23832.2085,1,2021-03-01T00:00:00.000+01:00
3,22655.1745,1,2021-04-01T00:00:00.000+02:00
4,28539.896,1,2021-05-01T00:00:00.000+02:00
5,34846.308000000005,1,2021-06-01T00:00:00.000+02:00
6,34645.087,1,2021-07-01T00:00:00.000+02:00
7,35020.4645,1,2021-08-01T00:00:00.000+02:00
8,30004.716500000002,1,2021-09-01T00:00:00.000+02:00
9,23738.947,1,2021-10-01T00:00:00.000+02:00
10,22987.703499999996,1,2021-11-01T00:00:00.000+01:00
11,20351.087,1,2021-12-01T00:00:00.000+01:00
