,value,percentage,datetime
0,3648510.198,1,2020-01-01T00:00:00.000+01:00
1,3085375.745,1,2020-02-01T00:00:00.000+01:00
2,3136155.192,1,2020-03-01T00:00:00.000+01:00
3,2680249.534,1,2020-04-01T00:00:00.000+02:00
4,2833738.348,1,2020-05-01T00:00:00.000+02:00
5,2999931.629,1,2020-06-01T00:00:00.000+02:00
6,3944796.05,1,2020-07-01T00:00:00.000+02:00
7,3852523.918,1,2020-08-01T00:00:00.000+02:00
8,3248747.485,1,2020-09-01T00:00:00.000+02:00
9,3070190.647,1,2020-10-01T00:00:00.000+02:00
10,3040312.816,1,2020-11-01T00:00:00.000+01:00
11,3482080.542,1,2020-12-01T00:00:00.000+01:00
