,value,percentage,code_com,mes,year
191,16714.884,1,8745,12,2019
192,1566908.501,1,10,1,2019
193,1349915.466,1,10,2,2019
194,1438251.76,1,10,3,2019
195,1324846.851,1,10,4,2019
196,1412540.967,1,10,5,2019
197,1320335.319,1,10,6,2019
198,1321611.713,1,10,7,2019
199,1067567.8,1,10,8,2019
200,1313870.402,1,10,9,2019
201,1401028.409,1,10,10,2019
202,1440323.849,1,10,11,2019
203,1327169.282,1,10,12,2019
204,955695.747,1,11,1,2019
205,800857.082,1,11,2,2019
206,819770.82,1,11,3,2019
207,775652.082,1,11,4,2019
208,775558.988,1,11,5,2019
209,734051.76,1,11,6,2019
210,771577.431,1,11,7,2019
211,751690.808,1,11,8,2019
212,733274.883,1,11,9,2019
213,741662.952,1,11,10,2019
214,762830.407,1,11,11,2019
215,770472.528,1,11,12,2019
216,841665.36,1,21,1,2019
217,722984.391,1,21,2,2019
218,769206.22,1,21,3,2019
219,717397.568,1,21,4,2019
220,753933.437,1,21,5,2019
221,781848.129,1,21,6,2019
222,934973.704,1,21,7,2019
223,891511.529,1,21,8,2019
224,740195.578,1,21,9,2019
225,748991.037,1,21,10,2019
226,756543.658,1,21,11,2019
227,777171.494,1,21,12,2019
228,3648510.198,1,4,1,2020
229,3085375.745,1,4,2,2020
230,3136155.192,1,4,3,2020
231,2680249.534,1,4,4,2020
232,2833738.348,1,4,5,2020
233,2999931.629,1,4,6,2020
234,3944796.05,1,4,7,2020
235,3852523.918,1,4,8,2020
236,3248747.485,1,4,9,2020
237,3070190.647,1,4,10,2020
238,3040312.816,1,4,11,2020
239,3482080.542,1,4,12,2020
240,936969.954,1,5,1,2020
241,847063.224,1,5,2,2020
242,845670.025,1,5,3,2020
243,715893.499,1,5,4,2020
244,780472.526,1,5,5,2020
245,800765.41,1,5,6,2020
246,883086.548,1,5,7,2020
247,884240.341,1,5,8,2020
248,844042.251,1,5,9,2020
249,848048.821,1,5,10,2020
250,854810.773,1,5,11,2020
251,873158.298,1,5,12,2020
252,756953.464,1,8742,1,2020
253,705861.132,1,8742,2,2020
254,682194.297,1,8742,3,2020
255,548481.932,1,8742,4,2020
256,581117.603,1,8742,5,2020
257,602698.837,1,8742,6,2020
258,679184.288,1,8742,7,2020
259,712516.545,1,8742,8,2020
260,684875.592,1,8742,9,2020
261,674860.239,1,8742,10,2020
262,652336.766,1,8742,11,2020
263,665587.715,1,8742,12,2020
264,341784.053,1,6,1,2020
265,330739.792,1,6,2,2020
266,356180.394,1,6,3,2020
267,287372.937,1,6,4,2020
268,314378.961,1,6,5,2020
269,280657.543,1,6,6,2020
270,319142.121,1,6,7,2020
271,340134.022,1,6,8,2020
272,333667.089,1,6,9,2020
273,351119.216,1,6,10,2020
274,344154.085,1,6,11,2020
275,306515.675,1,6,12,2020
276,1061533.843,1,7,1,2020
277,939083.828,1,7,2,2020
278,988619.577,1,7,3,2020
279,807391.746,1,7,4,2020
280,917831.634,1,7,5,2020
281,964355.873,1,7,6,2020
282,1173169.272,1,7,7,2020
283,1114481.323,1,7,8,2020
284,930478.016,1,7,9,2020
285,926029.016,1,7,10,2020
286,918647.462,1,7,11,2020
287,1018731.82,1,7,12,2020
288,1289529.098,1,8,1,2020
289,1158160.686,1,8,2,2020
290,1127288.907,1,8,3,2020
291,903667.226,1,8,4,2020
292,975778.847,1,8,5,2020
293,1031437.936,1,8,6,2020
294,1226900.23,1,8,7,2020
295,1126916.921,1,8,8,2020
296,1084962.292,1,8,9,2020
297,1156341.074,1,8,10,2020
298,1143244.181,1,8,11,2020
299,1205269.286,1,8,12,2020
300,4180533.867,1,9,1,2020
301,3739391.844,1,9,2,2020
302,3655675.5,1,9,3,2020
