,Provincias,Ramas de actividad,periodo,Total
49,3,Valor añadido bruto total,2020,31006346.0
50,3,Valor añadido bruto total,2019,33889570.0
51,3,Impuestos netos sobre los productos,2021,3551318.0
52,3,Impuestos netos sobre los productos,2020,2973565.0
53,3,Impuestos netos sobre los productos,2019,3476923.0
54,4,"A. Agricultura, ganadería, silvicultura y pesca",2021,2443690.0
55,4,"A. Agricultura, ganadería, silvicultura y pesca",2020,2519276.0
56,4,"A. Agricultura, ganadería, silvicultura y pesca",2019,2400114.0
57,4,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,1348695.0
58,4,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1302726.0
59,4,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,1416242.0
60,4,C. - De las cuales: Industria manufacturera,2021,1020119.0
61,4,C. - De las cuales: Industria manufacturera,2020,1011494.0
62,4,C. - De las cuales: Industria manufacturera,2019,996328.0
63,4,F. Construcción,2021,723957.0
64,4,F. Construcción,2020,648214.0
65,4,F. Construcción,2019,774405.0
66,4,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,3793774.0
67,4,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,3232834.0
68,4,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,4017874.0
69,4,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,2816431.0
70,4,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,2687981.0
71,4,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,2726384.0
72,4,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,3041318.0
73,4,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,2937782.0
74,4,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,3007440.0
75,4,Valor añadido bruto total,2021,14167865.0
76,4,Valor añadido bruto total,2020,13328813.0
77,4,Valor añadido bruto total,2019,14342459.0
78,4,Impuestos netos sobre los productos,2021,1491757.0
79,4,Impuestos netos sobre los productos,2020,1278257.0
80,4,Impuestos netos sobre los productos,2019,1471474.0
81,1,"A. Agricultura, ganadería, silvicultura y pesca",2021,201362.0
82,1,"A. Agricultura, ganadería, silvicultura y pesca",2020,189557.0
83,1,"A. Agricultura, ganadería, silvicultura y pesca",2019,212839.0
84,1,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,3832143.0
85,1,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,3388952.0
86,1,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,3781684.0
87,1,C. - De las cuales: Industria manufacturera,2021,3473573.0
88,1,C. - De las cuales: Industria manufacturera,2020,3145920.0
89,1,C. - De las cuales: Industria manufacturera,2019,3588690.0
90,1,F. Construcción,2021,400677.0
91,1,F. Construcción,2020,429096.0
92,1,F. Construcción,2019,518235.0
