,value,percentage,datetime
0,742368.4699999999,1,2020-01-01T00:00:00.000+01:00
1,977576.4380000001,1,2020-02-01T00:00:00.000+01:00
2,1126421.958,1,2020-03-01T00:00:00.000+01:00
3,1180820.937,1,2020-04-01T00:00:00.000+02:00
4,1439662.12,1,2020-05-01T00:00:00.000+02:00
5,1407688.5210000002,1,2020-06-01T00:00:00.000+02:00
6,1526419.8650000002,1,2020-07-01T00:00:00.000+02:00
7,1384421.1190000002,1,2020-08-01T00:00:00.000+02:00
8,1337128.6709999999,1,2020-09-01T00:00:00.000+02:00
9,1205503.455,1,2020-10-01T00:00:00.000+02:00
10,1033998.128,1,2020-11-01T00:00:00.000+01:00
11,1041023.7379999999,1,2020-12-01T00:00:00.000+01:00
