,value,percentage,datetime
0,39749.3915,1,2020-01-01T00:00:00.000+01:00
1,36948.1405,1,2020-02-01T00:00:00.000+01:00
2,37849.725,1,2020-03-01T00:00:00.000+01:00
3,39638.515,1,2020-04-01T00:00:00.000+02:00
4,40801.289000000004,1,2020-05-01T00:00:00.000+02:00
5,43043.686499999996,1,2020-06-01T00:00:00.000+02:00
6,43569.7325,1,2020-07-01T00:00:00.000+02:00
7,39299.512,1,2020-08-01T00:00:00.000+02:00
8,35710.121499999994,1,2020-09-01T00:00:00.000+02:00
9,32726.8565,1,2020-10-01T00:00:00.000+02:00
10,32713.107500000002,1,2020-11-01T00:00:00.000+01:00
11,44577.694,1,2020-12-01T00:00:00.000+01:00
