,value,percentage,datetime
0,129773.273,1,2019-01-01T00:00:00.000+01:00
1,104239.34099999999,1,2019-02-01T00:00:00.000+01:00
2,123001.18999999999,1,2019-03-01T00:00:00.000+01:00
3,131681.432,1,2019-04-01T00:00:00.000+02:00
4,131000.74100000001,1,2019-05-01T00:00:00.000+02:00
5,134138.1,1,2019-06-01T00:00:00.000+02:00
6,200507.24899999998,1,2019-07-01T00:00:00.000+02:00
7,203766.54,1,2019-08-01T00:00:00.000+02:00
8,172700.534,1,2019-09-01T00:00:00.000+02:00
9,176753.69799999997,1,2019-10-01T00:00:00.000+02:00
10,219081.44700000001,1,2019-11-01T00:00:00.000+01:00
11,154092.13299999997,1,2019-12-01T00:00:00.000+01:00
