Provincias;Ramas de actividad;periodo;Total
11 Cádiz;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;4.618.525
11 Cádiz;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);6.237.843
11 Cádiz;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;6.029.118
11 Cádiz;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;6.208.929
11 Cádiz;Valor añadido bruto total;2021(P);20.479.431
11 Cádiz;Valor añadido bruto total;2020;18.481.324
11 Cádiz;Valor añadido bruto total;2019;20.999.441
11 Cádiz;Impuestos netos sobre los productos;2021(P);2.156.311
11 Cádiz;Impuestos netos sobre los productos;2020;1.772.393
11 Cádiz;Impuestos netos sobre los productos;2019;2.154.451
11 Cádiz;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);22.635.742
11 Cádiz;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;20.253.717
11 Cádiz;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;23.153.892
39 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);14.022.067
39 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;12.852.323
39 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;14.180.759
39 Cantabria;A. Agricultura, ganadería, silvicultura y pesca;2021(P);185.011
39 Cantabria;A. Agricultura, ganadería, silvicultura y pesca;2020;155.059
39 Cantabria;A. Agricultura, ganadería, silvicultura y pesca;2019;153.770
39 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);2.834.352
39 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;2.479.943
39 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;2.671.327
39 Cantabria;C. - De las cuales: Industria manufacturera;2021(P);2.264.179
39 Cantabria;C. - De las cuales: Industria manufacturera;2020;2.001.452
39 Cantabria;C. - De las cuales: Industria manufacturera;2019;2.188.319
39 Cantabria;F. Construcción;2021(P);824.530
39 Cantabria;F. Construcción;2020;810.175
39 Cantabria;F. Construcción;2019;929.138
39 Cantabria;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2021(P);2.693.982
39 Cantabria;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;2.319.072
39 Cantabria;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2019;2.921.214
39 Cantabria;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);3.078.541
39 Cantabria;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;2.940.643
39 Cantabria;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;2.967.918
39 Cantabria;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);3.069.890
39 Cantabria;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;3.022.731
39 Cantabria;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;3.217.884
39 Cantabria;Valor añadido bruto total;2021(P);12.686.306
39 Cantabria;Valor añadido bruto total;2020;11.727.623
39 Cantabria;Valor añadido bruto total;2019;12.861.251
39 Cantabria;Impuestos netos sobre los productos;2021(P);1.335.761
39 Cantabria;Impuestos netos sobre los productos;2020;1.124.700
39 Cantabria;Impuestos netos sobre los productos;2019;1.319.508
39 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);14.022.067
39 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;12.852.323
39 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;14.180.759
12 Castellón/Castelló;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);16.147.043
12 Castellón/Castelló;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;14.226.621
12 Castellón/Castelló;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;16.082.541
12 Castellón/Castelló;A. Agricultura, ganadería, silvicultura y pesca;2021(P);429.078
12 Castellón/Castelló;A. Agricultura, ganadería, silvicultura y pesca;2020;394.736
12 Castellón/Castelló;A. Agricultura, ganadería, silvicultura y pesca;2019;366.391
12 Castellón/Castelló;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);5.233.733
12 Castellón/Castelló;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;4.312.375
12 Castellón/Castelló;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;4.928.270
12 Castellón/Castelló;C. - De las cuales: Industria manufacturera;2021(P);4.811.949
12 Castellón/Castelló;C. - De las cuales: Industria manufacturera;2020;3.975.218
12 Castellón/Castelló;C. - De las cuales: Industria manufacturera;2019;4.574.401
12 Castellón/Castelló;F. Construcción;2021(P);758.542
12 Castellón/Castelló;F. Construcción;2020;749.752
12 Castellón/Castelló;F. Construcción;2019;889.592
12 Castellón/Castelló;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2021(P);2.930.316
12 Castellón/Castelló;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;2.492.836
12 Castellón/Castelló;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2019;3.183.379
12 Castellón/Castelló;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);2.748.923
12 Castellón/Castelló;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;2.600.229
12 Castellón/Castelló;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;2.651.625
12 Castellón/Castelló;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);2.508.262
12 Castellón/Castelló;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;2.431.729
12 Castellón/Castelló;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;2.566.816
12 Castellón/Castelló;Valor añadido bruto total;2021(P);14.608.854
12 Castellón/Castelló;Valor añadido bruto total;2020;12.981.657
12 Castellón/Castelló;Valor añadido bruto total;2019;14.586.073
12 Castellón/Castelló;Impuestos netos sobre los productos;2021(P);1.538.189
12 Castellón/Castelló;Impuestos netos sobre los productos;2020;1.244.964
12 Castellón/Castelló;Impuestos netos sobre los productos;2019;1.496.468
12 Castellón/Castelló;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);16.147.043
12 Castellón/Castelló;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;14.226.621
12 Castellón/Castelló;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;16.082.541
13 Ciudad Real;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);10.832.838
13 Ciudad Real;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;9.995.769
13 Ciudad Real;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;10.769.403
13 Ciudad Real;A. Agricultura, ganadería, silvicultura y pesca;2021(P);962.771
13 Ciudad Real;A. Agricultura, ganadería, silvicultura y pesca;2020;1.067.394
13 Ciudad Real;A. Agricultura, ganadería, silvicultura y pesca;2019;868.740
13 Ciudad Real;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);1.830.190
13 Ciudad Real;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;1.425.229
13 Ciudad Real;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;1.844.805
13 Ciudad Real;C. - De las cuales: Industria manufacturera;2021(P);1.547.223
13 Ciudad Real;C. - De las cuales: Industria manufacturera;2020;1.184.306
13 Ciudad Real;C. - De las cuales: Industria manufacturera;2019;1.589.514
13 Ciudad Real;F. Construcción;2021(P);660.968
13 Ciudad Real;F. Construcción;2020;635.088
13 Ciudad Real;F. Construcción;2019;697.770
13 Ciudad Real;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2021(P);2.003.563
13 Ciudad Real;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;1.764.264
13 Ciudad Real;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2019;2.097.107
13 Ciudad Real;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);1.715.384
13 Ciudad Real;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;1.655.507
13 Ciudad Real;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;1.669.390
13 Ciudad Real;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);2.628.011
13 Ciudad Real;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;2.573.562
13 Ciudad Real;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;2.589.507
13 Ciudad Real;Valor añadido bruto total;2021(P);9.800.887
13 Ciudad Real;Valor añadido bruto total;2020;9.121.044
13 Ciudad Real;Valor añadido bruto total;2019;9.767.319
13 Ciudad Real;Impuestos netos sobre los productos;2021(P);1.031.951
13 Ciudad Real;Impuestos netos sobre los productos;2020;874.725
13 Ciudad Real;Impuestos netos sobre los productos;2019;1.002.084
13 Ciudad Real;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);10.832.838
13 Ciudad Real;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;9.995.769
13 Ciudad Real;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;10.769.403
14 Córdoba;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);14.616.131
14 Córdoba;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;13.007.297
14 Córdoba;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;14.121.822
14 Córdoba;A. Agricultura, ganadería, silvicultura y pesca;2021(P);1.495.086
14 Córdoba;A. Agricultura, ganadería, silvicultura y pesca;2020;1.135.706
14 Córdoba;A. Agricultura, ganadería, silvicultura y pesca;2019;851.623
14 Córdoba;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);1.519.904
14 Córdoba;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;1.269.133
14 Córdoba;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;1.391.994
14 Córdoba;C. - De las cuales: Industria manufacturera;2021(P);1.230.162
14 Córdoba;C. - De las cuales: Industria manufacturera;2020;1.011.867
14 Córdoba;C. - De las cuales: Industria manufacturera;2019;1.051.099
14 Córdoba;F. Construcción;2021(P);780.631
14 Córdoba;F. Construcción;2020;689.441
14 Córdoba;F. Construcción;2019;789.781
14 Córdoba;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2021(P);2.674.401
14 Córdoba;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;2.262.007
14 Córdoba;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2019;3.046.711
14 Córdoba;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);2.786.778
14 Córdoba;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;2.665.513
14 Córdoba;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;2.738.673
14 Córdoba;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);3.966.979
14 Córdoba;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;3.847.235
14 Córdoba;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;3.989.016
14 Córdoba;Valor añadido bruto total;2021(P);13.223.779
14 Córdoba;Valor añadido bruto total;2020;11.869.035
14 Córdoba;Valor añadido bruto total;2019;12.807.798
14 Córdoba;Impuestos netos sobre los productos;2021(P);1.392.352
14 Córdoba;Impuestos netos sobre los productos;2020;1.138.262
14 Córdoba;Impuestos netos sobre los productos;2019;1.314.024
14 Córdoba;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);14.616.131
14 Córdoba;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;13.007.297
14 Córdoba;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;14.121.822
15 Coruña, A;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);27.347.965
15 Coruña, A;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;25.361.458
15 Coruña, A;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;27.718.066
15 Coruña, A;A. Agricultura, ganadería, silvicultura y pesca;2021(P);971.640
15 Coruña, A;A. Agricultura, ganadería, silvicultura y pesca;2020;908.992
15 Coruña, A;A. Agricultura, ganadería, silvicultura y pesca;2019;963.008
15 Coruña, A;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);3.953.030
15 Coruña, A;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;3.628.728
15 Coruña, A;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;4.181.304
15 Coruña, A;C. - De las cuales: Industria manufacturera;2021(P);2.597.552
15 Coruña, A;C. - De las cuales: Industria manufacturera;2020;2.355.242
15 Coruña, A;C. - De las cuales: Industria manufacturera;2019;2.912.326
15 Coruña, A;F. Construcción;2021(P);1.762.785
15 Coruña, A;F. Construcción;2020;1.716.942
15 Coruña, A;F. Construcción;2019;1.887.684
15 Coruña, A;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2021(P);6.169.564
15 Coruña, A;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;5.397.387
15 Coruña, A;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2019;6.485.156
15 Coruña, A;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);5.622.858
15 Coruña, A;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;5.371.364
15 Coruña, A;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;5.434.532
15 Coruña, A;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);6.262.883
15 Coruña, A;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;6.118.677
15 Coruña, A;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;6.187.238
15 Coruña, A;Valor añadido bruto total;2021(P);24.742.760
15 Coruña, A;Valor añadido bruto total;2020;23.142.090
15 Coruña, A;Valor añadido bruto total;2019;25.138.922
15 Coruña, A;Impuestos netos sobre los productos;2021(P);2.605.205
15 Coruña, A;Impuestos netos sobre los productos;2020;2.219.368
15 Coruña, A;Impuestos netos sobre los productos;2019;2.579.144
15 Coruña, A;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);27.347.965
15 Coruña, A;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;25.361.458
15 Coruña, A;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;27.718.066
16 Cuenca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);4.594.001
16 Cuenca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;4.195.214
16 Cuenca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;4.515.520
16 Cuenca;A. Agricultura, ganadería, silvicultura y pesca;2021(P);757.799
16 Cuenca;A. Agricultura, ganadería, silvicultura y pesca;2020;695.451
16 Cuenca;A. Agricultura, ganadería, silvicultura y pesca;2019;695.787
16 Cuenca;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);513.832
16 Cuenca;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;433.609
16 Cuenca;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;471.007
16 Cuenca;C. - De las cuales: Industria manufacturera;2021(P);288.247
16 Cuenca;C. - De las cuales: Industria manufacturera;2020;254.710
16 Cuenca;C. - De las cuales: Industria manufacturera;2019;272.495
16 Cuenca;F. Construcción;2021(P);273.704
16 Cuenca;F. Construcción;2020;252.164
16 Cuenca;F. Construcción;2019;276.267
16 Cuenca;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2021(P);987.352
16 Cuenca;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;898.560
16 Cuenca;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2019;1.063.817
16 Cuenca;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);671.677
16 Cuenca;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;645.053
16 Cuenca;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;655.596
16 Cuenca;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);952.006
16 Cuenca;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;903.256
16 Cuenca;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;932.880
16 Cuenca;Valor añadido bruto total;2021(P);4.156.370
16 Cuenca;Valor añadido bruto total;2020;3.828.093
16 Cuenca;Valor añadido bruto total;2019;4.095.354
16 Cuenca;Impuestos netos sobre los productos;2021(P);437.631
16 Cuenca;Impuestos netos sobre los productos;2020;367.121
16 Cuenca;Impuestos netos sobre los productos;2019;420.166
16 Cuenca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);4.594.001
16 Cuenca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;4.195.214
16 Cuenca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;4.515.520
20 Gipuzkoa;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);23.839.000
20 Gipuzkoa;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;21.835.162
20 Gipuzkoa;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;24.493.773
20 Gipuzkoa;A. Agricultura, ganadería, silvicultura y pesca;2021(P);91.933
20 Gipuzkoa;A. Agricultura, ganadería, silvicultura y pesca;2020;96.251
20 Gipuzkoa;A. Agricultura, ganadería, silvicultura y pesca;2019;119.345
20 Gipuzkoa;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);5.921.660
20 Gipuzkoa;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;5.176.787
20 Gipuzkoa;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;5.707.550
20 Gipuzkoa;C. - De las cuales: Industria manufacturera;2021(P);5.534.807
20 Gipuzkoa;C. - De las cuales: Industria manufacturera;2020;4.897.711
20 Gipuzkoa;C. - De las cuales: Industria manufacturera;2019;5.470.374
20 Gipuzkoa;F. Construcción;2021(P);1.186.543
20 Gipuzkoa;F. Construcción;2020;1.160.660
20 Gipuzkoa;F. Construcción;2019;1.497.326
20 Gipuzkoa;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2021(P);4.963.137
20 Gipuzkoa;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;4.277.263
20 Gipuzkoa;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2019;5.254.022
20 Gipuzkoa;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);4.743.611
20 Gipuzkoa;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;4.586.643
20 Gipuzkoa;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;4.677.171
20 Gipuzkoa;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);4.661.181
20 Gipuzkoa;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;4.626.774
20 Gipuzkoa;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;4.959.233
20 Gipuzkoa;Valor añadido bruto total;2021(P);21.568.065
20 Gipuzkoa;Valor añadido bruto total;2020;19.924.378
20 Gipuzkoa;Valor añadido bruto total;2019;22.214.647
20 Gipuzkoa;Impuestos netos sobre los productos;2021(P);2.270.935
20 Gipuzkoa;Impuestos netos sobre los productos;2020;1.910.784
20 Gipuzkoa;Impuestos netos sobre los productos;2019;2.279.126
20 Gipuzkoa;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);23.839.000
